customer_id,dni,gender,edad,ciudad_residencia,fecha_registro,nivel_riesgo
1,95822412,M,68,Cusco,2018-08-17 14:58:46,medio
2,24942603,F,57,Cusco,2022-03-20 22:41:55,bajo
3,13356886,F,24,Trujillo,2016-10-07 18:41:23,bajo
4,46913810,F,49,Lima,2018-07-01 10:14:50,bajo
5,42868828,M,65,Cusco,2022-05-28 11:21:34,bajo
6,39958838,M,36,Piura,2016-03-24 03:23:14,bajo
7,28728463,M,23,Chiclayo,2017-08-13 09:32:43,bajo
8,23756669,F,37,Lima,2015-05-28 14:17:44,bajo
9,83197857,F,44,Lima,2022-10-24 12:37:51,alto
10,21668732,F,70,Lima,2020-08-23 04:58:58,alto
11,89254563,M,60,Cusco,2015-08-24 10:01:00,bajo
12,66629388,F,54,Lima,2016-06-27 20:03:47,bajo
13,14265799,F,65,Trujillo,2016-03-31 03:32:17,bajo
14,13999315,M,24,Lima,2015-12-04 05:02:31,bajo
15,22575562,M,76,Piura,2018-01-11 00:06:53,medio
16,39345092,M,22,Arequipa,2019-04-15 07:14:39,bajo
17,41227216,M,28,Piura,2016-03-13 17:05:08,bajo
18,77827638,F,32,Cusco,2018-11-15 12:58:36,medio
19,90801586,M,20,Lima,2019-05-27 04:22:47,medio
20,13561597,M,75,Lima,2021-12-07 22:36:21,bajo
21,85329037,F,22,Trujillo,2021-08-08 03:36:59,medio
22,36687537,M,40,Chiclayo,2022-09-04 04:44:06,bajo
23,97226012,M,70,Lima,2021-11-18 03:39:38,bajo
24,83140807,M,54,Iquitos,2022-05-14 17:22:25,bajo
25,66306997,M,26,Piura,2020-05-20 01:37:16,bajo
26,39587039,F,32,Cusco,2015-04-15 22:57:51,bajo
27,70291817,M,20,Arequipa,2021-08-17 06:43:42,bajo
28,89089901,F,46,Lima,2017-01-05 03:02:02,bajo
29,47338124,F,23,Arequipa,2015-02-06 15:42:40,medio
30,10872248,M,34,Lima,2016-01-28 22:40:22,bajo
31,31429110,F,43,Cusco,2015-10-10 19:57:53,bajo
32,66722344,M,38,Chiclayo,2016-03-27 01:19:23,medio
33,55667651,M,25,Piura,2021-01-31 16:06:36,bajo
34,47295260,F,38,Cusco,2023-07-22 12:28:54,alto
35,30868105,F,74,Arequipa,2016-10-21 12:04:45,bajo
36,38898923,F,28,Lima,2019-12-06 23:33:56,bajo
37,55176955,M,55,Arequipa,2020-02-16 12:40:29,bajo
